user_id,signup_day,channel,user_type,experiment_group,converted
0,51,organic,medium_value,treatment,0
1,14,paid_ads,high_value,control,1
2,71,referral,low_value,control,0
3,60,organic,high_value,treatment,0
4,20,paid_ads,medium_value,treatment,0
5,82,paid_ads,medium_value,control,0
6,86,organic,medium_value,treatment,0
7,74,paid_ads,medium_value,control,0
8,74,organic,high_value,control,0
9,87,paid_ads,medium_value,treatment,0
10,23,organic,low_value,control,0
11,2,paid_ads,low_value,treatment,0
12,21,organic,high_value,control,1
13,52,referral,low_value,control,0
14,1,organic,medium_value,treatment,0
15,87,paid_ads,low_value,treatment,0
16,29,paid_ads,medium_value,control,0
17,37,referral,medium_value,control,0
18,1,paid_ads,low_value,control,0
19,63,referral,low_value,control,0
20,59,referral,medium_value,treatment,0
21,20,partner,medium_value,treatment,0
22,32,organic,medium_value,control,0
23,75,paid_ads,medium_value,control,0
24,57,referral,medium_value,treatment,1
25,21,partner,medium_value,treatment,0
26,88,partner,low_value,treatment,0
27,48,paid_ads,high_value,treatment,0
28,58,organic,medium_value,control,0
29,41,paid_ads,high_value,control,0
30,59,referral,medium_value,treatment,0
31,79,paid_ads,high_value,treatment,0
32,14,paid_ads,medium_value,control,0
33,61,referral,low_value,control,0
34,61,paid_ads,low_value,control,0
35,46,partner,medium_value,treatment,0
36,61,paid_ads,medium_value,control,0
37,50,organic,medium_value,control,0
38,54,paid_ads,low_value,treatment,0
39,63,referral,low_value,control,0
40,2,organic,medium_value,control,0
41,50,organic,medium_value,control,0
42,6,partner,low_value,control,0
43,20,organic,high_value,control,0
44,72,paid_ads,medium_value,treatment,0
45,38,paid_ads,low_value,treatment,0
46,17,paid_ads,low_value,control,0
47,3,paid_ads,medium_value,control,0
48,88,organic,medium_value,treatment,0
49,59,paid_ads,medium_value,control,0
50,13,paid_ads,medium_value,control,0
51,8,referral,medium_value,treatment,0
52,89,organic,medium_value,control,0
53,52,paid_ads,low_value,control,0
54,1,organic,low_value,control,0
55,83,organic,high_value,control,0
56,59,organic,medium_value,control,0
57,70,organic,medium_value,control,0
58,43,referral,medium_value,control,0
59,7,organic,medium_value,treatment,0
60,46,partner,medium_value,control,0
61,34,partner,low_value,control,0
62,77,paid_ads,medium_value,treatment,0
63,80,organic,low_value,treatment,0
64,35,paid_ads,low_value,control,0
65,49,referral,high_value,control,1
66,3,paid_ads,medium_value,control,0
67,1,organic,low_value,treatment,0
68,5,paid_ads,low_value,control,1
69,53,referral,high_value,control,1
70,3,referral,high_value,control,0
71,53,organic,high_value,control,0
72,62,referral,low_value,control,0
73,17,organic,high_value,control,0
74,89,organic,medium_value,treatment,0
75,43,partner,low_value,treatment,1
76,33,organic,high_value,control,0
77,73,organic,medium_value,control,0
78,61,organic,medium_value,control,0
79,13,partner,low_value,control,0
80,47,referral,medium_value,treatment,0
81,14,paid_ads,medium_value,treatment,0
82,71,referral,medium_value,control,0
83,77,organic,medium_value,control,0
84,86,paid_ads,high_value,control,0
85,61,paid_ads,medium_value,treatment,0
86,39,organic,medium_value,treatment,0
87,84,paid_ads,low_value,treatment,0
88,79,partner,low_value,treatment,0
89,81,organic,medium_value,control,0
90,52,organic,medium_value,treatment,0
91,23,organic,medium_value,treatment,0
92,25,organic,low_value,treatment,0
93,88,partner,medium_value,control,0
94,59,paid_ads,medium_value,treatment,0
95,40,paid_ads,medium_value,treatment,0
96,28,referral,medium_value,treatment,0
97,14,organic,medium_value,treatment,0
98,44,paid_ads,medium_value,treatment,0
99,64,paid_ads,high_value,treatment,1
100,88,paid_ads,low_value,treatment,0
101,70,partner,medium_value,treatment,0
102,8,referral,high_value,control,0
103,87,paid_ads,medium_value,control,0
104,0,referral,medium_value,control,0
105,7,organic,medium_value,treatment,0
106,87,organic,medium_value,treatment,0
107,62,organic,medium_value,treatment,1
108,10,organic,medium_value,control,0
109,80,paid_ads,medium_value,control,0
110,7,paid_ads,high_value,control,0
111,34,partner,low_value,control,0
112,34,paid_ads,medium_value,treatment,0
113,32,paid_ads,medium_value,control,0
114,4,organic,high_value,treatment,0
115,40,organic,medium_value,treatment,0
116,27,paid_ads,medium_value,control,1
117,6,paid_ads,medium_value,treatment,0
118,72,referral,low_value,control,0
119,71,organic,high_value,control,0
120,11,organic,medium_value,treatment,0
121,33,paid_ads,low_value,treatment,0
122,32,organic,low_value,control,0
123,47,organic,high_value,control,1
124,22,referral,medium_value,control,1
125,61,organic,medium_value,control,1
